kernel,matrix,backend,format,m,saad_tol,saad_estimate,rel_l2_vs_faer,norm_y,status
lanczos_one_pass,kron_g500-logn18,faer,csc,7,1.00000000000000004e-10,1.23926545005586469e-11,0.00000000000000000e0,2.95367792042031340e2,ok
lanczos_one_pass,kron_g500-logn18,faer,csr,7,1.00000000000000004e-10,1.23926545005586469e-11,1.03645982179010616e-15,2.95367792042031624e2,ok
lanczos_one_pass,kron_g500-logn18,eigen,csr,7,1.00000000000000004e-10,1.23926545005586469e-11,8.31910087306054924e-16,2.95367792042031283e2,ok
lanczos_one_pass,kron_g500-logn18,eigen,csc,7,1.00000000000000004e-10,1.23926545005586469e-11,7.80880764405081969e-16,2.95367792042031567e2,ok
lanczos_one_pass,kron_g500-logn18,petsc,csr,7,1.00000000000000004e-10,1.23926545005586469e-11,4.30831771048756178e-16,2.95367792042031226e2,ok
lanczos_one_pass,kron_g500-logn18,psblas,csr,7,1.00000000000000004e-10,1.23926545005586469e-11,4.13477692683917533e-16,2.95367792042031226e2,ok
lanczos_one_pass,kron_g500-logn18,psblas,csc,7,1.00000000000000004e-10,1.23926545005586469e-11,4.02068139195192699e-16,2.95367792042031226e2,ok
lanczos_two_pass,kron_g500-logn18,faer,csc,7,1.00000000000000004e-10,1.23926545005586469e-11,0.00000000000000000e0,2.95367792042031340e2,ok
lanczos_two_pass,kron_g500-logn18,faer,csr,7,1.00000000000000004e-10,1.23926545005586469e-11,1.03646460241272639e-15,2.95367792042031624e2,ok
lanczos_two_pass,kron_g500-logn18,eigen,csr,7,1.00000000000000004e-10,1.23926545005586469e-11,8.22570240309450342e-16,2.95367792042031283e2,ok
lanczos_two_pass,kron_g500-logn18,eigen,csc,7,1.00000000000000004e-10,1.23926545005586469e-11,7.30733289684209358e-16,2.95367792042031567e2,ok
lanczos_two_pass,kron_g500-logn18,petsc,csr,7,1.00000000000000004e-10,1.23926545005586469e-11,5.42835999306140817e-16,2.95367792042031169e2,ok
lanczos_two_pass,kron_g500-logn18,psblas,csr,7,1.00000000000000004e-10,1.23926545005586469e-11,4.12896530438909879e-16,2.95367792042031283e2,ok
lanczos_two_pass,kron_g500-logn18,psblas,csc,7,1.00000000000000004e-10,1.23926545005586469e-11,4.54119589606767774e-16,2.95367792042031226e2,ok
lanczos_one_pass,coPapersDBLP,faer,csc,11,1.00000000000000004e-10,3.95323401856483292e-12,0.00000000000000000e0,4.24315903199751972e2,ok
lanczos_one_pass,coPapersDBLP,faer,csr,11,1.00000000000000004e-10,3.95323401856483292e-12,1.23748714686052040e-15,4.24315903199752370e2,ok
