Benchmark,Matrix,Configuration,Elements,Time estimate (ns),Throughput (GFLOP/s),nnz,Samples
lanczos,as-Skitter,eigen_csc/one_pass,693459327,444689431.4,1.5594238990947153,693459327,2
lanczos,as-Skitter,eigen_csr/one_pass,693459327,408679122.6,1.6968308109018142,693459327,2
lanczos,as-Skitter,faer_csc/one_pass,693459327,499996945.47,1.3869271268210333,693459327,50
lanczos,as-Skitter,faer_csr/one_pass,693459327,456352942.608,1.5195679971667688,693459327,50
lanczos,as-Skitter,petsc_csr/one_pass,693459327,340533259.5,2.0363923571465414,693459327,2
lanczos,as-Skitter,psblas_csc/one_pass,693459327,506016008.0,1.370429622850983,693459327,2
lanczos,as-Skitter,psblas_csr/one_pass,693459327,499927645.8,1.387119381826353,693459327,2
lanczos,auto,eigen_csc/one_pass,218329068,121413638.4,1.7982252313427087,218329068,2
lanczos,auto,eigen_csr/one_pass,218329068,112185023.2,1.9461516499467995,218329068,2
lanczos,auto,faer_csc/one_pass,218329068,124741042.1,1.750258490104437,218329068,2
lanczos,auto,faer_csr/one_pass,218329068,113682653.0,1.9205134841460814,218329068,2
lanczos,auto,petsc_csr/one_pass,218329068,91640165.3,2.382460434082172,218329068,2
lanczos,auto,psblas_csc/one_pass,218329068,132775300.0,1.6443500259460906,218329068,2
lanczos,auto,psblas_csr/one_pass,218329068,131035015.8,1.666188740979264,218329068,2
lanczos,belgium_osm,eigen_csc/one_pass,286703625,135108620.2,2.1220231882732232,286703625,2
lanczos,belgium_osm,eigen_csr/one_pass,286703625,125433095.6,2.285709553994297,286703625,2
lanczos,belgium_osm,faer_csc/one_pass,286703625,143042312.2,2.0043273950936595,286703625,2
lanczos,belgium_osm,faer_csr/one_pass,286703625,125613327.5,2.282429983394875,286703625,2
lanczos,belgium_osm,petsc_csr/one_pass,286703625,125265470.2,2.288768201981331,286703625,2
lanczos,belgium_osm,psblas_csc/one_pass,286703625,217110865.2,1.3205401983723475,286703625,2
lanczos,belgium_osm,psblas_csr/one_pass,286703625,220481883.0,1.300350038284098,286703625,2
lanczos,caidaRouterLevel,eigen_csc/one_pass,50060428,28824733.5,1.7367178086832962,50060428,2
lanczos,caidaRouterLevel,eigen_csr/one_pass,50060428,25354174.65,1.974445182738378,50060428,2
lanczos,caidaRouterLevel,faer_csc/one_pass,50060428,29012435.95,1.7254817239846418,50060428,2
lanczos,caidaRouterLevel,faer_csr/one_pass,50060428,26025128.8,1.923541988387777,50060428,2
lanczos,caidaRouterLevel,petsc_csr/one_pass,50060428,18733096.4,2.6722986382539515,50060428,2
lanczos,caidaRouterLevel,psblas_csc/one_pass,50060428,26201111.1,1.9106223323483404,50060428,2
lanczos,caidaRouterLevel,psblas_csr/one_pass,50060428,24983898.3,2.0037076439748396,50060428,2
lanczos,citationCiteseer,eigen_csc/one_pass,90960396,56605370.6,1.6069216584194574,90960396,2
lanczos,citationCiteseer,eigen_csr/one_pass,90960396,46590541.4,1.9523361022801935,90960396,2
lanczos,citationCiteseer,faer_csc/one_pass,90960396,55436854.6,1.6407928742768174,90960396,2
lanczos,citationCiteseer,faer_csr/one_pass,90960396,53357156.9,1.7047459288446458,90960396,2
lanczos,citationCiteseer,petsc_csr/one_pass,90960396,39421773.1,2.3073644041647636,90960396,2
lanczos,citationCiteseer,psblas_csc/one_pass,90960396,55155100.4,1.6491746971781416,90960396,2
lanczos,citationCiteseer,psblas_csr/one_pass,90960396,50982452.9,1.784151032874293,90960396,2
lanczos,coAuthorsCiteseer,eigen_csc/one_pass,63327616,34226919.0,1.8502283538871844,63327616,2
lanczos,coAuthorsCiteseer,eigen_csr/one_pass,63327616,30732397.2,2.0606142627884556,63327616,2
lanczos,coAuthorsCiteseer,faer_csc/one_pass,63327616,34749271.4,1.822415649267397,63327616,2
lanczos,coAuthorsCiteseer,faer_csr/one_pass,63327616,31118449.3,2.035050506196014,63327616,2
lanczos,coAuthorsCiteseer,petsc_csr/one_pass,63327616,21398905.875,2.9593856980316287,63327616,2
lanczos,coAuthorsCiteseer,psblas_csc/one_pass,63327616,31664135.7,1.999979301503562,63327616,2
lanczos,coAuthorsCiteseer,psblas_csr/one_pass,63327616,30023249.1,2.1092859000393798,63327616,2
lanczos,coPapersCiteseer,eigen_csc/one_pass,689220020,321176476.6,2.1459230990268603,689220020,2
lanczos,coPapersCiteseer,eigen_csr/one_pass,689220020,304608532.6,2.2626418705908566,689220020,2
lanczos,coPapersCiteseer,faer_csc/one_pass,689220020,318721482.0,2.1624523570708045,689220020,2
lanczos,coPapersCiteseer,faer_csr/one_pass,689220020,273463361.0,2.5203377062274894,689220020,2
lanczos,coPapersCiteseer,petsc_csr/one_pass,689220020,263400858.0,2.616620254137517,689220020,2
lanczos,coPapersCiteseer,psblas_csc/one_pass,689220020,331810038.6,2.077152405960993,689220020,2
lanczos,coPapersCiteseer,psblas_csr/one_pass,689220020,304701751.4,2.261949650217862,689220020,2
lanczos,coPapersDBLP,eigen_csc/one_pass,736210882,382512933.88666666,1.9246692511007462,736210882,50
lanczos,coPapersDBLP,eigen_csr/one_pass,736210882,343391896.41333336,2.1439378438734003,736210882,50
lanczos,coPapersDBLP,faer_csc/one_pass,736210882,385110911.89,1.9116853334197015,736210882,50
lanczos,coPapersDBLP,faer_csr/one_pass,736210882,339714168.25,2.167148005019952,736210882,50
lanczos,coPapersDBLP,petsc_csr/one_pass,736210882,315289380.74333334,2.3350322813419613,736210882,50
lanczos,coPapersDBLP,psblas_csc/one_pass,736210882,458199988.644,1.6067457447538296,736210882,50
lanczos,coPapersDBLP,psblas_csr/one_pass,736210882,377258004.4,1.9514784932685183,736210882,50
lanczos,delaunay_n22,eigen_csc/one_pass,1254094660,774934075.6,1.618324318786737,1254094660,2
lanczos,delaunay_n22,eigen_csr/one_pass,1254094660,763372366.0,1.6428347630283489,1254094660,2
lanczos,delaunay_n22,faer_csc/one_pass,1254094660,809002039.6,1.5501749051461846,1254094660,2
lanczos,delaunay_n22,faer_csr/one_pass,1254094660,733407811.6,1.709955416569768,1254094660,2
lanczos,delaunay_n22,petsc_csr/one_pass,1254094660,548869937.0,2.2848667333733017,1254094660,2
lanczos,delaunay_n22,psblas_csc/one_pass,1254094660,1120125306.8,1.1196021127160556,1254094660,2
lanczos,delaunay_n22,psblas_csr/one_pass,1254094660,1057176096.0,1.186268460614153,1254094660,2
lanczos,kron_g500-logn18,eigen_csc/one_pass,316507800,207627282.448,1.5244037116329785,316507800,50
lanczos,kron_g500-logn18,eigen_csr/one_pass,316507800,218186426.59333333,1.450630109956028,316507800,50
lanczos,kron_g500-logn18,faer_csc/one_pass,316507800,209812604.342,1.508526148810793,316507800,50
